slot_id,symbol,day,bucket,month,n,mean_pnl,total_pnl,cumulative_pnl,pct_of_slot_total
854,NQ,Thu,19,2025-10,320,60.4844,19355.0,23125.0,-36.36
854,NQ,Thu,19,2025-11,129,-78.3333,-10105.0,13020.0,18.98
854,NQ,Thu,19,2025-12,202,72.9703,14740.0,27760.0,-27.69
854,NQ,Thu,19,2026-01,281,-104.1281,-29260.0,-1500.0,54.97
854,NQ,Thu,19,2026-02,761,-48.9159,-37225.0,-38725.0,69.93
854,NQ,Thu,19,2026-03,342,-36.1842,-12375.0,-51100.0,23.25
854,NQ,Thu,19,2026-04,448,-16.7969,-7525.0,-58625.0,14.14
854,NQ,Thu,19,2026-05,400,-22.5125,-9005.0,-67630.0,16.92
854,NQ,Thu,19,2026-06,440,25.3409,11150.0,-56480.0,-20.95
854,NQ,Thu,19,2026-07,621,5.2335,3250.0,-53230.0,-6.11
223,CL,Sun,36,2025-07,16,-110.625,-1770.0,-1770.0,-2.63
223,CL,Sun,36,2025-08,5,-230.0,-1150.0,-2920.0,-1.71
223,CL,Sun,36,2025-09,20,-35.0,-700.0,-3620.0,-1.04
223,CL,Sun,36,2025-11,56,-24.1071,-1350.0,-4970.0,-2.0
223,CL,Sun,36,2025-12,8,-110.0,-880.0,-5850.0,-1.31
223,CL,Sun,36,2026-01,27,-43.7037,-1180.0,-7030.0,-1.75
223,CL,Sun,36,2026-02,34,62.3529,2120.0,-4910.0,3.15
223,CL,Sun,36,2026-03,708,128.6723,91099.99,86189.99,135.16
223,CL,Sun,36,2026-04,156,20.8333,3250.0,89439.99,4.82
223,CL,Sun,36,2026-05,167,-122.2754,-20420.0,69019.99,-30.3
223,CL,Sun,36,2026-06,25,-8.0,-200.0,68819.99,-0.3
223,CL,Sun,36,2026-07,28,-50.7143,-1420.0,67399.99,-2.11
587,FDAX,Wed,27,2025-07,15,-475.0,-7125.0,-7125.0,34.97
587,FDAX,Wed,27,2025-08,6,-841.6667,-5050.0,-12175.0,24.79
587,FDAX,Wed,27,2025-09,9,-55.5556,-500.0,-12675.0,2.45
587,FDAX,Wed,27,2025-10,41,-23.7805,-975.0,-13650.0,4.79
587,FDAX,Wed,27,2025-11,14,-642.8571,-9000.0,-22650.0,44.17
587,FDAX,Wed,27,2025-12,7,-446.4286,-3125.0,-25775.0,15.34
587,FDAX,Wed,27,2026-01,15,-103.3333,-1550.0,-27325.0,7.61
587,FDAX,Wed,27,2026-02,40,144.375,5775.0,-21550.0,-28.34
587,FDAX,Wed,27,2026-03,39,-621.1538,-24225.0,-45775.0,118.9
587,FDAX,Wed,27,2026-04,42,795.2381,33400.0,-12375.0,-163.93
587,FDAX,Wed,27,2026-05,7,-1125.0,-7875.0,-20250.0,38.65
587,FDAX,Wed,27,2026-06,8,-196.875,-1575.0,-21825.0,7.73
587,FDAX,Wed,27,2026-07,5,290.0,1450.0,-20375.0,-7.12
715,NQ,Mon,22,2025-07,106,-33.4434,-3545.0,-3545.0,2.26
715,NQ,Mon,22,2025-08,77,-226.7532,-17460.0,-21005.0,11.12
715,NQ,Mon,22,2025-09,88,70.3977,6195.0,-14810.0,-3.95
715,NQ,Mon,22,2025-10,56,-96.7857,-5420.0,-20230.0,3.45
715,NQ,Mon,22,2025-11,149,29.7315,4430.0,-15800.0,-2.82
715,NQ,Mon,22,2025-12,118,-54.4492,-6425.0,-22225.0,4.09
715,NQ,Mon,22,2026-01,114,-66.2281,-7550.0,-29775.0,4.81
715,NQ,Mon,22,2026-02,129,11.8992,1535.0,-28240.0,-0.98
715,NQ,Mon,22,2026-03,207,-41.2319,-8535.0,-36775.0,5.44
715,NQ,Mon,22,2026-04,294,-160.3741,-47150.0,-83925.0,30.03
715,NQ,Mon,22,2026-05,201,-170.796,-34330.0,-118255.0,21.86
715,NQ,Mon,22,2026-06,153,-235.3922,-36015.0,-154270.0,22.94
715,NQ,Mon,22,2026-07,183,-15.0273,-2750.0,-157020.0,1.75
901,NQ,Fri,19,2025-07,241,-17.5519,-4230.0,-4230.0,575.51
901,NQ,Fri,19,2025-08,419,87.8401,36805.0,32575.0,-5007.48
901,NQ,Fri,19,2025-09,183,-245.9836,-45015.0,-12440.0,6124.49
901,NQ,Fri,19,2025-10,327,90.7034,29660.0,17220.0,-4035.37
901,NQ,Fri,19,2025-11,115,-25.2609,-2905.0,14315.0,395.24
901,NQ,Fri,19,2025-12,422,-93.8981,-39625.0,-25310.0,5391.16
901,NQ,Fri,19,2026-01,312,417.1635,130155.0,104845.0,-17708.16
901,NQ,Fri,19,2026-02,567,-28.8272,-16345.0,88500.0,2223.81
901,NQ,Fri,19,2026-03,352,-176.0938,-61985.0,26515.0,8433.33
901,NQ,Fri,19,2026-04,282,-50.8511,-14340.0,12175.0,1951.02
901,NQ,Fri,19,2026-05,513,-31.1891,-16000.0,-3825.0,2176.87
901,NQ,Fri,19,2026-06,349,-27.9083,-9740.0,-13565.0,1325.17
901,NQ,Fri,19,2026-07,447,28.7025,12830.0,-735.0,-1745.58
906,NQ,Fri,24,2025-07,95,8.7895,835.0,835.0,-1.25
906,NQ,Fri,24,2025-08,153,-4.1503,-635.0,200.0,0.95
906,NQ,Fri,24,2025-09,89,-36.0674,-3210.0,-3010.0,4.81
906,NQ,Fri,24,2025-10,263,-75.3422,-19815.0,-22825.0,29.67
906,NQ,Fri,24,2025-11,35,-411.4286,-14400.0,-37225.0,21.56
906,NQ,Fri,24,2025-12,162,-16.0494,-2600.0,-39825.0,3.89
906,NQ,Fri,24,2026-01,63,12.8571,810.0,-39015.0,-1.21
906,NQ,Fri,24,2026-02,199,101.7839,20255.0,-18760.0,-30.33
