symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,avg_pnl_trade,std_pnl,wins,win_rate
ES,Tue,04:00,4,ES-IPS_TM_6,13,1150.0,88.46153846153847,688.152371134065,11,84.61538461538461
ES,Tue,05:00,5,ES-TS_2,12,7275.0,606.25,224.33614186183763,12,100.0
ES,Tue,06:00,6,ES-IPS_TM_6,19,100.0,5.2631578947368425,830.7492830842705,14,73.68421052631578
ES,Tue,07:00,7,ES-TS_6,57,-450.0,-7.894736842105263,656.992061655959,45,78.94736842105263
ES,Tue,08:00,8,ES-IPS_TM_3,23,4412.5,191.84782608695653,302.44291102103466,20,86.95652173913044
ES,Tue,09:00,9,ES-TS_6,351,-1787.5,-5.092592592592593,399.514627805651,268,76.35327635327636
ES,Tue,10:00,10,ES-TS_6,783,-14312.5,-18.279054916985952,470.07403342547644,607,77.52234993614304
ES,Tue,11:00,11,ES-TS_6,592,-45037.5,-76.07685810810811,479.2651281219681,435,73.47972972972973
ES,Tue,12:00,12,ES-TS_6,478,-650.0,-1.3598326359832635,358.39381852772203,366,76.56903765690377
ES,Tue,13:00,13,ES-TS_6,427,-15100.0,-35.36299765807963,407.3427970498113,316,74.00468384074942
ES,Tue,14:00,14,ES-TS_6,388,-6725.0,-17.332474226804123,343.7166769784947,294,75.77319587628865
ES,Tue,15:00,15,ES-TS_7,43,1562.5,36.33720930232558,359.1368408939198,33,76.74418604651163
ES,Tue,16:00,16,ES-IPS_TM_5dupl,84,3825.0,45.535714285714285,431.43010843954585,61,72.61904761904762
ES,Tue,18:00,18,ES-TM_1,11,50.0,4.545454545454546,704.8331524036541,9,81.81818181818183
ES,Tue,19:00,19,ES-IPS_TM_6,16,1312.5,82.03125,601.005559285159,15,93.75
ES,Tue,20:00,20,ES-IPS_TM_6,19,250.0,13.157894736842104,563.8328912361943,15,78.94736842105263
ES,Tue,21:00,21,ES-IPS_TM_6,20,-2187.5,-109.375,943.7195010756778,16,80.0
ES,Tue,22:00,22,ES-IPS_TM_6,14,-2350.0,-167.85714285714286,1033.846838615027,11,78.57142857142857
ES,Tue,23:00,23,ES-IPS_TM_6,10,1512.5,151.25,1389.1000533918834,7,70.0
ES,Wed,00:00,0,ES-TM_7,31,-8212.5,-264.9193548387097,1758.5962067170424,16,51.61290322580645
ES,Wed,01:00,1,ES-IPS_TM_6,17,5100.0,300.0,919.9290903379456,15,88.23529411764706
ES,Wed,02:00,2,ES-IPS_TM_6,10,3887.5,388.75,542.3537309214757,9,90.0
ES,Wed,03:00,3,ES-TS_6,13,-150.0,-11.538461538461538,431.0676407449716,11,84.61538461538461
ES,Wed,04:00,4,ES-IPS_TM_6,19,10925.0,575.0,1368.938660260406,18,94.73684210526315
ES,Wed,05:00,5,ES-TM_10,62,7262.5,117.13709677419355,417.49787639937824,49,79.03225806451613
ES,Wed,06:00,6,ES-TS_6,32,2887.5,90.234375,526.6078908597229,27,84.375
ES,Wed,07:00,7,ES-TS_4,48,6787.5,141.40625,432.9755122584018,42,87.5
ES,Wed,08:00,8,ES-TS_6,123,-1387.5,-11.28048780487805,538.6958072334587,91,73.98373983739837
ES,Wed,09:00,9,ES-TS_6,347,-16550.0,-47.694524495677236,433.89628305587166,252,72.62247838616715
ES,Wed,10:00,10,ES-TS_6,721,3575.0,4.958391123439667,361.2486039029805,564,78.2246879334258
ES,Wed,11:00,11,ES-TS_7,26,3700.0,142.30769230769232,503.27771810250204,22,84.61538461538461
ES,Wed,12:00,12,ES-TS_6,435,-5012.5,-11.522988505747126,329.4085426177858,334,76.7816091954023
ES,Wed,13:00,13,ES-TS_7,15,-287.5,-19.166666666666668,435.2715353934938,11,73.33333333333333
ES,Wed,14:00,14,ES-TS_6,509,-8587.5,-16.8713163064833,407.33605300922954,397,77.99607072691552
ES,Wed,15:00,15,ES-TS_7,15,3500.0,233.33333333333334,528.742330801074,13,86.66666666666667
ES,Wed,16:00,16,ES-IPS_TM_6,23,3875.0,168.47826086956522,350.5245575063462,18,78.26086956521739
ES,Wed,17:00,17,ES-TM_10,10,1262.5,126.25,984.9465933067978,5,50.0
ES,Wed,18:00,18,ES-TS_6,15,-2137.5,-142.5,608.5477443412777,10,66.66666666666666
ES,Wed,19:00,19,ES-TM_2,26,2500.0,96.15384615384616,446.59502391385354,19,73.07692307692307
ES,Wed,20:00,20,ES-TM_7,13,1237.5,95.1923076923077,502.37815846488,11,84.61538461538461
ES,Wed,21:00,21,ES-IPS_TM_13,12,4550.0,379.1666666666667,564.5375554514965,11,91.66666666666666
ES,Wed,22:00,22,ES-TS_6,15,4212.5,280.8333333333333,400.303084579434,14,93.33333333333333
ES,Wed,23:00,23,ES-IPS_TM_5dupl,28,10137.5,362.05357142857144,325.75557012621283,26,92.85714285714286
FDAX,Fri,00:00,0,TM_10,23,6225.0,270.6521739130435,747.3305590077777,19,82.6086956521739
FDAX,Fri,01:00,1,IPS_TM_8,45,-1425.0,-31.666666666666668,1447.160228610753,30,66.66666666666666
FDAX,Fri,02:00,2,TM_7,25,-14900.0,-596.0,2790.6902521299876,16,64.0
FDAX,Fri,03:00,3,IPSPB1,44,21575.0,490.34090909090907,2341.9593758832634,30,68.18181818181817
FDAX,Fri,04:00,4,IPSTMUD1,23,1775.0,77.17391304347827,936.2920412783956,16,69.56521739130434
FDAX,Fri,05:00,5,IPSPB1,23,11700.0,508.69565217391306,2065.2647955865923,19,82.6086956521739
FDAX,Fri,06:00,6,IPS_TM_3,38,5600.0,147.3684210526316,977.7557983146814,27,71.05263157894737
FDAX,Fri,07:00,7,IPSTMUD1,42,4800.0,114.28571428571429,880.2913676653104,31,73.80952380952381
FDAX,Fri,08:00,8,IPSTMUD1,42,8450.0,201.1904761904762,771.499813891043,29,69.04761904761905
FDAX,Fri,09:00,9,IPSPB1,33,-3975.0,-120.45454545454545,1431.6928155794517,21,63.63636363636363
FDAX,Fri,10:00,10,IPS_TM_13,28,16975.0,606.25,2012.00822148751,19,67.85714285714286
