symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
ZB,Thu,19:00,19,IPS_TM_3,1,-71.5,-62.5,-71.5,,0,0.0
ZB,Thu,20:00,20,IPS_TM_11,2,611.5,625.0,305.75,173.59471478129743,2,100.0
ZB,Thu,21:00,21,IPS_TM_6,3,49.0,62.5,16.33,18.042195912175806,2,66.7
ZB,Thu,22:00,22,IPS_TM_10,3,174.0,187.5,58.0,31.25,3,100.0
ZB,Thu,23:00,23,TS_4,1,-294.75,-281.25,-294.75,,0,0.0
ZB,Tue,01:00,1,TM_5,1,-201.0,-187.5,-201.0,,0,0.0
ZB,Tue,02:00,2,TM_1,2,709.75,718.75,354.88,22.09708691207961,2,100.0
ZB,Tue,03:00,3,TS_2,1,549.0,562.5,549.0,18.042195912175803,1,100.0
ZB,Tue,04:00,4,IPS_TM_5,5,678.25,718.75,135.65,263.3084930267157,4,80.0
ZB,Tue,05:00,5,TS_2,3,1142.75,1156.25,380.92,18.04219591217581,3,100.0
ZB,Tue,06:00,6,TM_7,8,423.75,468.75,52.97,47.28625545924675,6,75.0
ZB,Tue,07:00,7,PB_3,3,-18.0,0.0,-6.0,56.72466394788073,2,66.7
ZB,Tue,08:00,8,TS_2,1,1111.5,1125.0,1111.5,484.7778529044687,1,100.0
ZB,Tue,09:00,9,TM_9,2,1861.5,1875.0,930.75,438.75975772625276,2,100.0
ZB,Tue,10:00,10,TS_2,6,160.5,187.5,26.75,44.19417382415922,4,66.7
ZB,Tue,11:00,11,TM_1,3,200.75,218.75,66.92,48.293589981832305,3,100.0
ZB,Tue,12:00,12,PB_1,7,-170.0,-125.0,-24.29,76.07745896061961,3,42.9
ZB,Tue,13:00,13,TM_5,17,623.5,812.5,36.68,210.26212741305724,8,47.1
ZB,Tue,14:00,14,TM_1,1,116.0,125.0,116.0,18.042195912175806,1,100.0
ZB,Tue,15:00,15,IPS_TM_8,1,267.75,281.25,267.75,31.25,1,100.0
ZB,Tue,16:00,16,TM_7,3,111.5,125.0,37.17,18.042195912175803,3,100.0
ZB,Tue,18:00,18,PB_1,1,-71.5,-62.5,-71.5,,0,0.0
ZB,Tue,19:00,19,TM_7,1,-201.0,-187.5,-201.0,,0,0.0
ZB,Tue,20:00,20,TM_1,2,-71.5,-62.5,-35.75,88.38834764831844,1,50.0
ZB,Tue,21:00,21,IPS_TM_11,1,361.5,375.0,361.5,36.084391824351606,1,100.0
ZB,Tue,22:00,22,PB_3,1,-71.5,-62.5,-71.5,,0,0.0
ZB,Tue,23:00,23,PB_2,1,-134.0,-125.0,-134.0,,0,0.0
ZB,Wed,00:00,0,IPS_TM_10,2,-76.0,-62.5,-38.0,135.7645019878171,1,50.0
ZB,Wed,01:00,1,PB_1,1,-134.0,-125.0,-134.0,83.01907411352325,0,0.0
ZB,Wed,02:00,2,PB_2,1,-134.0,-125.0,-134.0,0.0,0,0.0
ZB,Wed,03:00,3,IPS_TM_8,5,1115.75,1156.25,223.15,38.24411719467453,5,100.0
ZB,Wed,04:00,4,IPS_TM_11,3,629.25,656.25,209.75,50.279841885192916,3,100.0
ZB,Wed,05:00,5,TM_7,3,-183.25,-156.25,-61.08,202.37377753388242,2,66.7
ZB,Wed,06:00,6,IPS_TM_3,1,-134.0,-125.0,-134.0,81.03484332886276,0,0.0
ZB,Wed,07:00,7,TM_10,2,299.0,312.5,149.5,47.37615433949868,2,100.0
ZB,Wed,08:00,8,IPS_TM_11,3,861.5,875.0,287.17,295.36347664078806,3,100.0
ZB,Wed,09:00,9,IPS_TM_11,2,1004.25,1031.25,502.12,729.2038680986271,1,50.0
ZB,Wed,10:00,10,IPS_TM_11,8,4669.0,4750.0,583.62,1187.3042319834096,5,62.5
ZB,Wed,11:00,11,PB_3,9,164.75,218.75,18.31,153.30865403746057,3,33.3
ZB,Wed,12:00,12,IPS_TM_8,3,691.75,718.75,230.58,550.6690438306237,2,66.7
ZB,Wed,13:00,13,IPS_TM_10,5,191.75,218.75,38.35,27.260089875126972,4,80.0
ZB,Wed,14:00,14,IPS_TM_11,3,285.5,312.5,95.17,263.46932142724575,2,66.7
ZB,Wed,15:00,15,TM_5,14,3691.25,3781.25,263.66,243.22640226955008,11,78.6
ZB,Wed,16:00,16,PB_1,1,-71.5,-62.5,-71.5,114.23176367951838,0,0.0
ZB,Wed,18:00,18,IPS_TM_10,1,26.75,31.25,26.75,,1,100.0
