symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
CL,Mon,12:00,12,3Q_sim15,155,33136.0,34449.999229982495,213.78,956.5387268901981,100,64.5
CL,Mon,13:00,13,3Q_sim13,145,31724.0,33109.99925993383,218.79,671.4925383058503,83,57.2
CL,Mon,14:00,14,3Q_sim13,132,32678.0,33919.99924182892,247.56,830.0983018512169,68,51.5
CL,Mon,15:00,15,PB_3,340,120643.5,122879.99725341797,354.83,1874.1153705827505,169,49.7
CL,Mon,16:00,16,3Q_sim13,49,32625.5,33079.99926060438,665.83,2151.551549367923,31,63.3
CL,Mon,17:00,17,3Q_sim14,7,4239.0,4319.9999034404755,605.57,2265.2782698616334,2,28.6
CL,Mon,18:00,18,TM_9,47,4961.5,5379.999879747629,105.56,614.128377344037,29,61.7
CL,Mon,19:00,19,TM_9,20,4455.0,4589.999897405505,222.75,555.496600468901,15,75.0
CL,Mon,20:00,20,IPS_TM_11,80,7328.0,7939.99982252717,91.6,352.5798098914569,53,66.2
CL,Mon,21:00,21,TM_9,28,4267.5,4469.999900087714,152.41,558.2797537374187,19,67.9
CL,Mon,22:00,22,3Q_sim19,22,2678.5,2799.999937415123,121.75,250.47976028341563,17,77.3
CL,Mon,23:00,23,TM_2,7,826.0,879.9999803304672,118.0,588.4043263300249,5,71.4
CL,Sun,17:00,17,3Q_sim14,28,5808.5,6019.999865442514,207.45,644.4610631015935,20,71.4
CL,Sun,18:00,18,IPS_TM_12,66,12227.0,12649.999717250466,185.26,485.73257028968726,50,75.8
CL,Sun,19:00,19,TS_5,43,5787.0,6119.99986320734,134.58,423.5338332214242,30,69.8
CL,Sun,20:00,20,3Q_sim15,78,2163.5,2779.999937862158,27.74,513.27799939657,50,64.1
CL,Sun,21:00,21,PB_3,241,7685.0,9259.999793022871,31.89,273.10561280920257,144,59.8
CL,Sun,22:00,22,TM_9,70,8253.5,8869.99980174005,117.91,796.7812711894042,45,64.3
CL,Sun,23:00,23,IPS_TM_6,7,3279.5,3319.9999257922173,468.5,625.214349333376,6,85.7
CL,Thu,00:00,0,3Q_sim14,98,3648.5,4489.999899640679,37.23,418.38455069681737,53,54.1
CL,Thu,01:00,1,3Q_sim7,23,1904.0,2029.9999546259642,82.78,316.49513963568376,18,78.3
CL,Thu,02:00,2,3Q_sim16,27,2661.5,2809.9999371916056,98.57,264.3298326488235,24,88.9
CL,Thu,03:00,3,TS_5,69,3908.5,4479.999899864197,56.64,353.2553478738088,45,65.2
CL,Thu,04:00,4,TM_9,24,4748.0,4909.999890252948,197.83,582.2958304662062,16,66.7
CL,Thu,05:00,5,TM_2,25,16834.5,17009.999619796872,673.38,2032.5479566195058,17,68.0
CL,Thu,06:00,6,3Q_sim13,107,4441.5,5399.999879300594,41.51,395.8395991481323,51,47.7
CL,Thu,07:00,7,3Q_sim7,18,7292.0,7399.999834597111,405.11,1175.9416559279668,13,72.2
CL,Thu,08:00,8,TS_2,24,4215.0,4349.999902769923,175.62,199.06543435933406,20,83.3
CL,Thu,09:00,9,3Q_sim16,79,10146.5,10609.99976284802,128.44,871.0032937551794,65,82.3
CL,Thu,10:00,10,IPS_TM_7,101,4202.5,4809.999892488122,41.61,531.8633098807619,54,53.5
CL,Thu,11:00,11,TS_4,101,10523.0,11089.999752119184,104.19,211.51935434240804,77,76.2
CL,Thu,12:00,12,3Q_sim7,29,10136.5,10329.999769106507,349.53,1001.036823424907,21,72.4
CL,Thu,13:00,13,IPS_TM_5,12,5875.0,6009.999865666032,489.58,352.7873883461191,11,91.7
CL,Thu,14:00,14,3Q_sim14,601,24649.0,30309.995993450288,41.01,524.0941325763482,292,48.6
CL,Thu,15:00,15,3Q_sim14,237,67409.5,69429.99844811857,284.43,954.5885820175054,132,55.7
CL,Thu,16:00,16,TM_9,40,9706.0,10029.99977581203,242.65,649.34626628586,28,70.0
CL,Thu,17:00,17,TM_2,6,-1124.0,-1069.9999760836363,-187.33,459.26774033438477,2,33.3
CL,Thu,18:00,18,3Q_sim13,23,4958.0,5119.999885559082,215.57,597.8328020480311,17,73.9
CL,Thu,19:00,19,3Q_sim13,12,2369.0,2449.9999452382326,197.42,501.1567341563739,9,75.0
CL,Thu,20:00,20,IPS_TM_6,12,15258.0,15329.999657347798,1271.5,1466.6984861211888,12,100.0
CL,Thu,21:00,21,IPS_TM_13,12,3692.5,3759.999915957451,307.71,306.9961034985163,11,91.7
CL,Thu,22:00,22,TM_9,23,6860.0,7039.999842643738,298.26,729.2161393736725,17,73.9
CL,Thu,23:00,23,IPS_TM_7,25,5144.0,5269.999882206321,205.76,319.7152998269692,20,80.0
CL,Tue,00:00,0,3Q_sim14,79,5682.5,6379.999857395887,71.93,339.65190451972205,50,63.3
CL,Tue,01:00,1,3Q_sim13,57,13227.5,13609.999695792794,232.06,760.359596427629,38,66.7
CL,Tue,02:00,2,3Q_sim13,91,4524.0,5369.999879971147,49.71,496.4175839216172,45,49.5
CL,Tue,03:00,3,3Q_sim15,100,11116.5,11849.99973513186,111.16,450.34763379673075,74,74.0
CL,Tue,04:00,4,IPS_TM_7,55,5105.0,5419.9998788535595,92.82,426.51185871454277,39,70.9
CL,Tue,05:00,5,IPS_TM_11,148,7500.0,8849.999802187085,50.68,354.36238718439006,82,55.4
CL,Tue,06:00,6,3Q_sim13,115,3852.0,4949.999889358878,33.5,702.2026450803143,52,45.2
CL,Tue,07:00,7,TM_8,93,6909.0,7979.9998216331005,74.29,283.60475273925704,51,54.8
CL,Tue,08:00,8,3Q_sim13,164,15348.5,16819.999624043703,93.59,438.45023765182805,87,53.0
CL,Tue,09:00,9,TM_8,278,12026.0,14779.999669641256,43.26,341.372426034917,121,43.5
CL,Tue,10:00,10,3Q_sim13,253,17157.0,19739.999558776617,67.81,654.2059662399628,98,38.7
CL,Tue,11:00,11,TS_6,336,8867.0,11359.999746084213,26.39,341.6086929117561,231,68.8
CL,Tue,12:00,12,3Q_sim13,167,93537.0,95129.9978736788,560.1,1528.7296924307873,81,48.5
CL,Tue,13:00,13,IPS_TM_11,207,9519.5,11539.9997420609,45.99,406.7781605169255,104,50.2
CL,Tue,14:00,14,IPS_TM_11,230,13804.5,16139.999639242887,60.02,830.5308782807049,104,45.2
CL,Tue,15:00,15,TM_2,62,9744.0,10229.999771341681,157.16,1456.8781135475563,34,54.8
CL,Tue,16:00,16,TS_6,43,18521.5,18849.999578669667,430.73,1665.0835097961697,30,69.8
CL,Tue,17:00,17,3Q_sim14,6,-1442.0,-1369.9999693781137,-240.33,257.2239563521199,0,0.0
CL,Tue,18:00,18,TS_6,44,94233.0,94529.99788708985,2141.66,2336.265903003206,41,93.2
CL,Tue,19:00,19,TS_6,29,15458.5,15669.999649748206,533.05,4179.697751821506,18,62.1
CL,Tue,20:00,20,TM_5,18,2142.5,2299.999948590994,119.03,326.9199988154498,13,72.2
