symbol,account_name,total_trades,total_gross_pnl,mean_pnl,std_pnl,win_rate,t_stat,est_total_comm,total_net_pnl,net_mean_pnl
ES,ES-IPSPB1,371,-8212.5,-22.14,464.5932931535631,56.33,-0.92,1669.5,-9882.0,-26.64
CL,CL-TS_5,215,-9030.0,-42.0,160.41767553891634,50.7,-3.84,967.5,-9997.5,-46.5
ES,ES-IPSMUD1,575,-8275.0,-14.39,479.6898033266322,58.78,-0.72,2587.5,-10862.5,-18.89
CL,CL-TS_4,213,-9920.0,-46.57,211.55085139529925,51.17,-3.21,958.5,-10878.5,-51.07
NQ,V500_sim14,1131,-5980.0,-5.29,325.5094463362855,55.88,-0.55,5089.5,-11069.5,-9.79
NQ,TS_7,1644,-6490.0,-3.95,826.8650986454885,64.54,-0.19,7398.0,-13888.0,-8.45
CL,CL-TS_6,255,-14050.0,-55.1,229.68801118094248,54.51,-3.83,1147.5,-15197.5,-59.6
NQ,V500_sim19,1508,-8570.0,-5.68,293.44502789521596,52.98,-0.75,6786.0,-15356.0,-10.18
NQ,V500_sim16,1791,-11570.0,-6.46,291.68936459276364,46.68,-0.94,8059.5,-19629.5,-10.96
CL,IPS_TM_13,974,-17710.0,-18.18,455.5051795506721,58.83,-1.25,4383.0,-22093.0,-22.68
CL,TS_2,1055,-20510.0,-19.44,323.90372380916745,60.19,-1.95,4747.5,-25257.5,-23.94
FDAX,IPS_TM_13,3099,-8775.0,-2.83,2285.3442689004755,59.41,-0.07,17044.5,-25819.5,-8.33
CL,3Q_sim10,642,-24210.0,-37.71,620.2112305486987,41.28,-1.54,2889.0,-27099.0,-42.21
