slot_id,year_month,mean_pnl,n_trades,total_pnl,label,is_holdout
358,2025-02,3.8240131578947367,608,2325.0,ES Wed Bkt29,False
358,2025-03,-29.935459377372815,1317,-39425.0,ES Wed Bkt29,False
358,2025-04,22.0578231292517,2205,48637.5,ES Wed Bkt29,False
358,2025-05,36.32760898282695,757,27500.0,ES Wed Bkt29,False
358,2025-06,-18.107876712328768,584,-10575.0,ES Wed Bkt29,False
358,2025-07,-1.5981169474727452,1009,-1612.5,ES Wed Bkt29,True
358,2025-08,-42.16160220994475,362,-15262.5,ES Wed Bkt29,True
358,2025-09,31.441048034934497,916,28800.0,ES Wed Bkt29,True
358,2025-10,-26.634615384615383,1040,-27700.0,ES Wed Bkt29,True
358,2025-11,-2.364864864864865,259,-612.5,ES Wed Bkt29,True
358,2025-12,-59.384218289085545,678,-40262.5,ES Wed Bkt29,True
358,2026-01,5.849125364431487,1372,8025.0,ES Wed Bkt29,True
358,2026-02,-38.228155339805824,721,-27562.5,ES Wed Bkt29,True
358,2026-03,15.97568578553616,802,12812.5,ES Wed Bkt29,True
358,2026-04,-26.335616438356166,730,-19225.0,ES Wed Bkt29,True
358,2026-05,-46.76229508196721,305,-14262.5,ES Wed Bkt29,True
358,2026-06,1.834862385321101,109,200.0,ES Wed Bkt29,True
358,2026-07,3.5409556313993176,293,1037.5,ES Wed Bkt29,True
587,2024-06,-245.83333333333334,12,-2950.0,FDAX Wed Bkt27,False
587,2024-07,-26.08695652173913,69,-1800.0,FDAX Wed Bkt27,False
587,2024-08,316.39344262295083,61,19300.0,FDAX Wed Bkt27,False
587,2024-09,-161.36363636363637,66,-10650.0,FDAX Wed Bkt27,False
587,2024-10,-68.75,100,-6875.0,FDAX Wed Bkt27,False
587,2024-11,-319.375,40,-12775.0,FDAX Wed Bkt27,False
587,2024-12,258.69565217391306,46,11900.0,FDAX Wed Bkt27,False
587,2025-01,20.0,25,500.0,FDAX Wed Bkt27,False
587,2025-02,-89.38356164383562,73,-6525.0,FDAX Wed Bkt27,False
587,2025-03,119.24019607843137,204,24325.0,FDAX Wed Bkt27,False
587,2025-04,684.5079787234042,376,257375.0,FDAX Wed Bkt27,False
587,2025-05,407.14285714285717,56,22800.0,FDAX Wed Bkt27,False
587,2025-06,-1517.857142857143,7,-10625.0,FDAX Wed Bkt27,False
587,2025-07,-475.0,15,-7125.0,FDAX Wed Bkt27,True
587,2025-08,-841.6666666666666,6,-5050.0,FDAX Wed Bkt27,True
587,2025-09,-55.55555555555556,9,-500.0,FDAX Wed Bkt27,True
587,2025-10,-23.78048780487805,41,-975.0,FDAX Wed Bkt27,True
587,2025-11,-642.8571428571429,14,-9000.0,FDAX Wed Bkt27,True
