NCP Model -- Fold 1
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 12.6162  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                        mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha               -44.9428   0.4208 -45.4960  -44.4312    4.3417    4.0323   7.3647
beta_slot_raw[64]     0.0521   0.5352  -0.5863    0.8119    4.1285    4.0323   6.7936
beta_slot_raw[65]    -0.4424   0.5206  -0.9274    0.4258    4.3582   11.3999   4.4753
beta_slot_raw[66]     0.0131   0.6657  -0.9480    0.8051    4.1933    4.0323   8.3264
beta_slot_raw[67]     0.1143   0.5856  -0.5136    0.7702    4.0982    4.0323   8.0700
beta_slot_raw[68]     0.1585   0.7141  -0.6641    0.8799    4.1861   13.5912   5.7013
beta_slot_raw[69]    -0.0106   0.3385  -0.5292    0.3058    4.1082    4.0323   7.7660
beta_slot_raw[70]     0.2189   0.7229  -0.6547    0.9357    4.2322   13.5453   5.0207
beta_slot_raw[71]    -0.4629   0.3237  -0.9716   -0.0712    4.2059   15.4196   5.3307
beta_slot_raw[72]     0.0667   0.6384  -0.9222    0.7537    4.0692    4.0323  10.6849
beta_slot_raw[73]    -0.0808   0.4835  -0.7847    0.5800    4.2089    4.0323   8.7928
beta_slot_raw[74]     0.1520   0.7043  -0.7257    0.9631    4.4424   19.3873   4.1558
beta_slot_raw[75]    -0.2239   0.7450  -0.9519    0.8580    4.0918    4.0323   8.5733
beta_slot_raw[76]    -0.1925   0.6043  -0.7339    0.8175    4.2027    4.0323   5.3568
beta_slot_raw[77]    -0.0664   0.6750  -0.7676    0.9445    4.3518   12.8272   5.1436
beta_slot_raw[78]     0.0743   0.6531  -0.9913    0.6730    4.2555   12.2377   4.5449
beta_slot_raw[79]     0.2677   0.4694  -0.3937    0.8724    4.3401    4.0323   6.8720
beta_slot_raw[80]    -0.3123   0.3417  -0.5879    0.2649    4.3250    4.0323   4.0109
beta_slot_raw[81]    -0.1923   0.1405  -0.3677    0.0057    4.3577   39.0859   6.9903
beta_slot_raw[82]    -0.3800   0.7717  -0.9088    0.9483    4.1031    4.0323   7.8567
beta_slot_raw[83]    -0.4878   0.3915  -0.9527    0.0772    4.2758   11.4212   8.3409
beta_slot_raw[84]     0.0439   0.5491  -0.8026    0.7292    4.2808    4.0323   7.8468
beta_slot_raw[85]    -0.3982   0.6387  -0.9726    0.6025    4.2597    4.0323   4.6517
beta_slot_raw[86]    -0.0566   0.6676  -0.8733    0.6422    4.2241    4.0323   8.5412
beta_slot_raw[87]    -0.2352   0.5087  -0.9622    0.3991    4.3151    4.0323   7.7413
beta_slot_raw[88]     0.6148   0.4014  -0.0599    0.9784    4.3448    4.0323   3.9606
beta_slot_raw[89]    -0.3738   0.4035  -0.6980    0.3153    4.2480    4.0323   4.5788
beta_slot_raw[90]    -0.2099   0.4104  -0.7968    0.2707    4.1933    4.0323   9.2088
beta_slot_raw[91]     0.0673   0.5642  -0.8999    0.4618    4.3759   12.9030   4.0764
beta_slot_raw[92]    -0.0986   0.7511  -0.8302    0.8921    4.2337   11.4944   7.6973
beta_slot_raw[93]    -0.3382   0.2330  -0.6173   -0.0957    4.1918    4.0323   9.7664
beta_slot_raw[94]    -0.1137   0.2191  -0.3719    0.1280    4.1993    4.0323  10.8226
beta_slot_raw[95]    -0.4380   0.2509  -0.7364   -0.0531    4.1916    4.0323   5.4549
beta_slot_raw[96]    -0.1382   0.6344  -0.9601    0.5426    4.3099   12.1329   4.0894
beta_slot_raw[97]    -0.1584   0.6783  -0.9577    0.9173    4.4635   15.1046   3.5428
beta_slot_raw[98]    -0.2189   0.3314  -0.7093    0.1254    4.1848    4.0323  12.2330
beta_slot_raw[99]     0.2530   0.4402  -0.3106    0.8806    4.3267    4.0323   4.2547
beta_slot_raw[100]    0.2891   0.1572   0.1159    0.5305    4.3230    4.0323   3.8914
beta_slot_raw[101]   -0.0712   0.3649  -0.4481    0.5319    4.0937    4.0323   8.4904
beta_slot_raw[102]   -0.2576   0.3488  -0.8462    0.0250    4.2773   20.5090   4.3646
beta_slot_raw[103]   -0.2857   0.5846  -0.9898    0.3225    4.5024   12.7398   3.4701
beta_slot_raw[104]   -0.6081   0.3461  -0.8952   -0.0355    4.3549   15.2444   5.4357
beta_slot_raw[105]   -0.2125   0.3924  -0.6759    0.4075    4.0985    4.0323   8.0591
beta_slot_raw[106]   -0.1173   0.5945  -0.8519    0.8078    4.3972   10.8707   5.0792
beta_slot_raw[107]    0.1054   0.7574  -0.7833    0.9114    4.2125   13.4033   5.1232
beta_slot_raw[108]   -0.0632   0.2632  -0.4051    0.3155    4.3046    4.0323   4.1340
beta_slot_raw[109]   -0.0834   0.5179  -0.7971    0.5474    4.2257   16.6955   5.0450
beta_slot_raw[110]   -0.2119   0.2931  -0.5931    0.1307    4.0971    4.0323   8.0785
beta_slot_raw[111]    0.2264   0.3109  -0.1036    0.6904    4.3383   31.6223   7.9166
beta_slot_raw[112]    0.4680   0.3118  -0.0253    0.8242    4.1074    4.0323   7.6150
beta_slot_raw[113]   -0.2985   0.2684  -0.6457    0.1040    4.1885    4.0323   5.3548
beta_slot_raw[114]   -0.2901   0.3319  -0.6098    0.2169    4.2006   16.0064  10.4626
beta_slot_raw[115]    0.1593   0.4469  -0.3583    0.6516    4.2634   12.8026   5.9207
beta_slot_raw[116]    0.0100   0.0780  -0.0727    0.1143    4.2962   20.8387   7.2968
beta_slot_raw[117]   -0.0918   0.3835  -0.5193    0.5267    4.2232   16.2885   8.6300
beta_slot_raw[118]    0.0693   0.3147  -0.3544    0.4942    4.1671    4.0323   5.7750
beta_slot_raw[119]    0.0972   0.6693  -0.9353    0.8992    4.1820   20.0973   5.9041
beta_slot_raw[120]   -0.4284   0.1758  -0.6456   -0.1549    4.2271    4.0323   4.8145
beta_slot_raw[121]    0.2076   0.4794  -0.2850    0.9222    4.1201    4.0323   7.0185
beta_slot_raw[122]   -0.5154   0.2959  -0.8618   -0.0918    4.3330   20.3485   6.8356
beta_slot_raw[123]    0.4766   0.4602  -0.3059    0.8791    4.0878    4.0323   8.7133
beta_slot_raw[124]    0.7295   0.1971   0.3938    0.8849    4.4321   13.0119   3.5638
beta_slot_raw[125]   -0.4094   0.1265  -0.5804   -0.2605    4.2461   21.5176   4.8165
beta_slot_raw[126]   -0.2423   0.4959  -0.9959    0.2971    4.0592    4.0323  12.5948
beta_slot_raw[127]    0.3380   0.7005  -0.8577    0.8866    4.2703    4.0323   7.7269
beta_slot_raw[128]   -0.0735   0.6672  -0.9203    0.8223    4.3427    4.0323   3.9835
beta_slot_raw[129]    0.1044   0.7082  -0.9254    0.9470    4.3365   16.7803   3.8505
beta_slot_raw[130]   -0.0672   0.1087  -0.2008    0.0945    4.3275   26.2607   7.2728
beta_slot_raw[131]   -0.1317   0.3297  -0.5070    0.2162    4.5161   29.0323   3.5579
beta_slot_raw[132]   -0.7949   0.1486  -0.9826   -0.6413    4.3914   11.5153   4.1625
beta_slot_raw[133]    0.0926   0.7995  -0.9233    0.9080    4.1814    4.0323   9.8119
beta_slot_raw[134]   -0.1990   0.5323  -0.7974    0.4809    4.5763   39.3765   3.8342
beta_slot_raw[135]   -0.2231   0.6405  -0.9465    0.4625    4.2263   19.9599   4.9539
beta_slot_raw[136]   -0.0870   0.4670  -0.5986    0.5529    4.2060    4.0323   5.0979
beta_slot_raw[137]    0.0844   0.2370  -0.1916    0.4552    4.1908   10.7247   8.4398
beta_slot_raw[138]   -0.0037   0.6433  -0.8887    0.7723    4.3691   11.0588   4.1541
beta_slot_raw[139]    0.0976   0.4833  -0.4162    0.7199    4.0829    4.0323   9.1952
beta_slot_raw[140]   -0.4357   0.4631  -0.8546    0.3349    4.3265    4.0323   4.0365
beta_slot_raw[141]   -0.2704   0.4370  -0.7969    0.4142    4.2033    4.0323   5.0472
beta_slot_raw[142]   -0.4028   0.7248  -0.9968    0.7997    4.3055    4.0323   4.0255
beta_slot_raw[143]    0.1959   0.5025  -0.4976    0.9199    4.4253   12.2329   3.5991
beta_slot_raw[144]   -0.3425   0.3490  -0.7745    0.0611    4.5448   23.1257   3.5357
beta_slot_raw[145]    0.2852   0.6921  -0.8037    0.9850    4.0615    4.0323  12.5627
beta_slot_raw[146]    0.1316   0.3316  -0.2094    0.6689    4.1908    4.0323   5.4688
beta_slot_raw[147]   -0.5836   0.5314  -0.9282    0.3336    4.2314    4.0323   4.8495
beta_slot_raw[148]    0.2403   0.2855  -0.2399    0.4672    4.2224    4.0323   8.5919
beta_slot_raw[149]    0.2786   0.2886  -0.1190    0.5795    4.4205   11.4601   3.8874
beta_slot_raw[150]    0.0821   0.2469  -0.1618    0.3867    4.2280   12.4330   9.9135
beta_slot_raw[151]   -0.0227   0.6051  -0.5970    0.8544    4.3260   11.0378   5.4531
beta_slot_raw[152]   -0.5663   0.1717  -0.7898   -0.3496    4.2653   11.0324   5.2011
beta_slot_raw[153]   -0.1763   0.6164  -0.7760    0.8542    4.3027    4.0323   4.2193
beta_slot_raw[154]    0.1426   0.5665  -0.6714    0.6971    4.2189    4.0323   7.3510
beta_slot_raw[155]    0.1008   0.7591  -0.8847    0.9823    4.1051    4.0323   7.7500
beta_slot_raw[156]   -0.4566   0.3759  -0.7871    0.1423    4.0799    4.0323   9.9399
beta_slot_raw[157]   -0.1270   0.5386  -0.6218    0.7786    4.3293    4.0323   4.1943
beta_slot_raw[158]   -0.4287   0.7712  -0.9282    0.9056    4.2067   13.6333  11.0086
beta_slot_raw[159]   -0.1271   0.6532  -0.7231    0.9027    4.1382    4.0323   6.8825
beta_slot_raw[160]    0.0070   0.5388  -0.6707    0.8099    4.2220    4.0323   4.8491
beta_slot_raw[161]   -0.1323   0.1601  -0.3752    0.0459    4.2804    4.0323   9.0645
beta_slot_raw[162]    0.0176   0.6508  -0.8747    0.8934    4.1588    4.0323  11.5388
beta_slot_raw[163]    0.1626   0.6463  -0.8081    0.9370    4.1282    4.0323   6.7109
beta_slot_raw[164]    0.0805   0.6040  -0.9650    0.4568    4.1744   11.2826   5.4887
beta_slot_raw[165]    0.1314   0.3595  -0.4478    0.5326    4.2055    4.0323   9.0994
beta_slot_raw[166]    0.0739   0.4577  -0.5543    0.7353    4.1939   11.5325   8.7731
beta_slot_raw[167]   -0.0839   0.6428  -0.7698    0.9560    4.2006   12.5213  10.0595
beta_slot_raw[168]    0.3975   0.7575  -0.8983    0.9707    4.0855    4.0323   8.9922
beta_slot_raw[169]   -0.1635   0.6494  -0.8295    0.8192    4.2427   15.2609   7.1244
beta_slot_raw[170]   -0.2294   0.5520  -0.9966    0.5552    4.2076    4.0323   5.2131
beta_slot_raw[171]    0.4780   0.2192   0.1617    0.7126    4.0844    4.0323   9.0763
beta_slot_raw[172]    0.1212   0.8080  -0.8540    0.9839    4.3519    4.0323   8.2704
beta_slot_raw[173]    0.2504   0.0724   0.1479    0.3379    4.2998   24.3016   4.3427
beta_slot_raw[174]    0.4245   0.4699  -0.2113    0.9074    4.3817   11.4160   3.9917
beta_slot_raw[175]    0.0936   0.4635  -0.4860    0.6955    4.0983    4.0323   8.4937
beta_slot_raw[176]   -0.2476   0.3337  -0.6650    0.1237    4.3083    4.0323   6.7032
beta_slot_raw[177]    0.3008   0.2867  -0.1780    0.5764    4.2059    4.0323   8.3663
beta_slot_raw[178]   -0.0218   0.5129  -0.4132    0.8539    4.3151   30.7784   7.9211
beta_slot_raw[179]    0.1707   0.4019  -0.4967    0.5355    4.3379   11.4790   5.3996
beta_slot_raw[180]    0.0604   0.4737  -0.4187    0.8244    4.2465   13.0636   8.0200
beta_slot_raw[181]    0.1973   0.5640  -0.6935    0.7826    4.3268    4.0323   6.5719
