NCP Model -- Fold 5
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 1.0178  gate<1.05 -> PASS
ESS min:   314   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%   ess_bulk   ess_tail   r_hat
alpha              -37.3589  24.4199 -83.6512   11.0064  1658.2600  1537.8477  1.0011
beta_slot_raw[117]   0.7201   0.4649  -0.1819    1.5554  3552.8901  2392.6104  1.0017
beta_slot_raw[118]  -0.6640   0.5726  -1.7359    0.4123  5226.2396  2880.7603  0.9999
beta_slot_raw[119]   0.8394   0.5928  -0.2324    1.9977  5208.0102  3215.0388  1.0011
beta_slot_raw[120]  -1.0303   0.6685  -2.2714    0.2202  5905.7049  2666.4296  1.0003
beta_slot_raw[121]   2.3289   0.7225   1.0349    3.7624  5526.3700  2973.4733  1.0046
beta_slot_raw[122]   0.7909   0.6500  -0.4351    1.9838  4758.8677  3107.8877  1.0004
beta_slot_raw[123]  -0.2371   0.6821  -1.4536    1.1112  6303.4132  2865.0794  1.0015
beta_slot_raw[124]  -0.7751   0.6850  -2.1441    0.4356  5251.7098  3181.8609  1.0024
beta_slot_raw[125]  -4.9108   0.6501  -6.1377   -3.6885  4247.4611  3079.9231  1.0012
beta_slot_raw[126]  -2.4633   0.7242  -3.7853   -1.0285  6507.3686  2826.4853  1.0020
beta_slot_raw[127]  -0.8160   0.8533  -2.4987    0.7110  5874.2732  2685.7906  1.0009
beta_slot_raw[128]   0.2545   0.7260  -1.1878    1.5555  6008.6246  2778.3451  1.0005
beta_slot_raw[129]  -0.1660   0.9453  -1.8721    1.6323  7991.1862  2743.1103  0.9999
beta_slot_raw[130]   0.2335   0.8270  -1.4040    1.7055  6859.2570  2516.0888  1.0005
beta_slot_raw[131]   0.3944   0.9542  -1.3639    2.1980  7021.5225  3302.9187  1.0031
beta_slot_raw[132]  -1.2889   0.8813  -2.8947    0.3848  6321.0558  3123.2772  1.0015
beta_slot_raw[133]  -0.6992   0.9284  -2.3958    1.0633  6461.8952  3175.1936  1.0010
beta_slot_raw[134]  -1.0542   0.9335  -2.8250    0.7020  7349.5724  2522.2731  1.0017
beta_slot_raw[135]  -0.5931   0.9089  -2.2843    1.1304  7759.5194  2523.7830  1.0009
beta_slot_raw[136]  -0.1621   0.9450  -1.9200    1.6566  6767.8275  2475.7807  1.0003
beta_slot_raw[137]   0.7127   0.9330  -0.9235    2.5835  5830.2134  2261.7781  1.0014
beta_slot_raw[138]   0.6248   0.9328  -1.0825    2.3652  7432.9459  2625.6603  1.0016
beta_slot_raw[139]   0.2798   0.5056  -0.6805    1.1977  4482.8220  2903.0104  1.0022
beta_slot_raw[140]  -0.1749   0.5270  -1.1563    0.8155  6637.6394  3126.2071  1.0005
beta_slot_raw[141]   0.5999   0.5610  -0.4314    1.6770  5580.4209  2673.0464  0.9999
beta_slot_raw[142]  -0.3764   0.5396  -1.3543    0.6705  5854.3220  2930.4974  1.0011
beta_slot_raw[143]   0.4099   0.4916  -0.4917    1.3429  5561.7999  3251.3981  1.0000
beta_slot_raw[144]  -0.1568   0.4945  -1.0801    0.7527  4848.8587  3077.5490  1.0025
beta_slot_raw[145]   0.0729   0.4436  -0.7506    0.9337  4487.6819  3157.7860  1.0003
beta_slot_raw[146]   0.8125   0.4156   0.0120    1.5866  3692.6824  2549.5399  1.0008
beta_slot_raw[147]   0.4706   0.4118  -0.2612    1.3034  4828.6345  3395.5402  1.0006
beta_slot_raw[148]  -0.0232   0.5688  -1.1252    1.0030  5447.0148  3268.0598  1.0009
beta_slot_raw[149]  -0.0784   0.5876  -1.1719    0.9951  5532.9361  2945.7663  1.0002
beta_slot_raw[150]  -0.2793   0.5039  -1.2562    0.6456  5339.1209  3041.2781  1.0023
beta_slot_raw[151]  -1.1433   0.5289  -2.1244   -0.1434  5543.3088  3062.7976  1.0002
beta_slot_raw[152]  -0.4071   0.5940  -1.5424    0.6709  5595.7622  2892.9663  1.0020
beta_slot_raw[153]   0.6960   0.5166  -0.3144    1.6069  4458.2428  3091.3303  1.0028
beta_slot_raw[154]   0.9876   0.5247   0.0555    2.0420  4996.0027  3026.9245  1.0002
beta_slot_raw[155]  -0.9000   0.5822  -1.9565    0.2331  6266.1327  3096.2877  1.0009
beta_slot_raw[156]  -0.3518   0.5674  -1.4334    0.6888  6766.3296  3059.8136  1.0031
beta_slot_raw[157]  -0.7787   0.5638  -1.8075    0.3070  5164.9834  2862.5244  1.0009
beta_slot_raw[158]   0.4163   0.4244  -0.3249    1.2360  4407.9615  2879.9765  1.0002
beta_slot_raw[159]  -1.0971   0.4228  -1.9103   -0.3622  4237.7701  3351.1599  0.9999
beta_slot_raw[160]  -0.9276   0.4347  -1.7289   -0.1023  3696.4191  2648.1802  1.0010
beta_slot_raw[161]   0.1438   0.4041  -0.5979    0.9177  3398.9973  2573.2870  1.0029
beta_slot_raw[162]  -0.2844   0.4795  -1.1592    0.6226  4610.7702  2760.3633  1.0005
beta_slot_raw[163]  -0.4420   0.4242  -1.2529    0.3623  3728.2094  3028.4523  1.0007
beta_slot_raw[164]   0.4493   0.4366  -0.3533    1.2699  4296.6279  2987.5883  1.0008
beta_slot_raw[165]   0.8022   0.4660  -0.0585    1.7027  3882.1506  2834.2517  1.0024
beta_slot_raw[166]   0.1398   0.5424  -0.8992    1.1627  4279.5844  2773.2189  1.0026
beta_slot_raw[167]   0.7511   0.5481  -0.2977    1.7311  4435.4633  2946.1398  1.0010
beta_slot_raw[168]  -0.1050   0.5205  -1.0992    0.8512  5624.1258  2427.6790  1.0006
beta_slot_raw[169]  -0.1978   0.5014  -1.1051    0.7719  4700.4107  2698.6338  1.0025
beta_slot_raw[170]  -0.1921   0.4877  -1.0420    0.8104  2008.6474  1822.7036  1.0005
beta_slot_raw[171]   0.2334   0.6088  -0.9368    1.3476  4613.6349  2468.5881  1.0007
beta_slot_raw[172]  -0.4968   0.7159  -1.8034    0.8955  6374.3931  2606.6384  1.0016
beta_slot_raw[173]  -0.3914   0.8803  -1.9879    1.3348  7231.1377  2822.1609  1.0020
beta_slot_raw[174]  -0.2490   0.4729  -1.1371    0.6192  4363.6443  2889.8301  1.0014
beta_slot_raw[175]  -0.4653   0.5193  -1.3831    0.5206  4193.5905  2991.7787  1.0011
beta_slot_raw[176]   2.1000   0.4929   1.1960    3.0321  4671.2722  3195.6070  0.9998
beta_slot_raw[177]  -2.0730   0.5364  -3.1014   -1.1020  5162.4445  3080.7643  1.0023
beta_slot_raw[178]  -0.3713   0.5073  -1.2908    0.5950  5272.3887  3013.4503  1.0004
beta_slot_raw[179]  -0.0229   0.5949  -1.1013    1.1165  5953.2927  2873.8562  1.0059
beta_slot_raw[180]  -0.5558   0.5410  -1.5445    0.4816  5386.9872  2992.3453  1.0021
beta_slot_raw[181]   2.0716   0.5515   1.0543    3.1102  5767.0894  3329.6563  1.0004
beta_slot_raw[182]   0.6167   0.5271  -0.4411    1.5568  5417.3309  3007.6106  1.0019
beta_slot_raw[183]   1.4173   0.5282   0.4329    2.3749  4854.1730  3038.4090  1.0006
beta_slot_raw[184]  -0.0703   0.5466  -1.1238    0.9293  6352.0149  2926.9634  1.0003
beta_slot_raw[185]  -0.4273   0.5676  -1.4645    0.6674  6118.8394  3059.3361  1.0023
