NCP Model -- Fold 3
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6331  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha              -38.0507   0.5698 -38.6811  -37.2302    4.0554    4.0323  13.8743
beta_slot_raw[97]    0.1694   0.6526  -0.5783    0.9506    4.2244    4.0323   5.2010
beta_slot_raw[98]    0.1284   0.2188  -0.0659    0.4998    4.2704    4.0323   4.4485
beta_slot_raw[99]   -0.2214   0.5087  -0.9612    0.3685    4.2363    4.0323  11.1171
beta_slot_raw[100]  -0.2857   0.1274  -0.5040   -0.1934    4.0683    4.0323  10.9522
beta_slot_raw[101]   0.1910   0.1553   0.0371    0.4477    4.3218   24.3066   9.9822
beta_slot_raw[102]   0.2043   0.2159  -0.1251    0.4673    4.3238   34.3899   4.2455
beta_slot_raw[103]   0.2321   0.3840  -0.1839    0.8201    4.2202    4.0323   4.8383
beta_slot_raw[104]  -0.0210   0.3893  -0.6579    0.3979    4.0856    4.0323  10.1508
beta_slot_raw[105]   0.2239   0.4344  -0.4561    0.6180    4.0769    4.0323  10.2769
beta_slot_raw[106]   0.1456   0.2862  -0.3480    0.3521    4.0669    4.0323  12.1789
beta_slot_raw[107]  -0.1520   0.5306  -0.8978    0.5278    4.2735    4.0323   9.0402
beta_slot_raw[108]  -0.0805   0.1800  -0.3123    0.1733    4.1746   15.8096  14.8126
beta_slot_raw[109]  -0.2429   0.6756  -0.9991    0.8493    4.3155    4.0323   4.0836
beta_slot_raw[110]  -0.3297   0.6442  -0.8333    0.7629    4.0596    4.0323  12.5767
beta_slot_raw[111]  -0.2552   0.4630  -0.7893    0.2310    4.2952    4.0323  10.1152
beta_slot_raw[112]  -0.0549   0.4789  -0.8830    0.2601    4.3015   23.5552   4.0622
beta_slot_raw[113]   0.5564   0.1815   0.2961    0.7971    4.0551    4.0323  13.6563
beta_slot_raw[114]   0.7158   0.0819   0.6090    0.8254    4.2487    4.0323   4.5859
beta_slot_raw[115]  -0.0575   0.7015  -0.9067    0.9170    4.1797    4.0323   5.5447
beta_slot_raw[116]   0.1135   0.2816  -0.2580    0.4833    4.0834    4.0323   9.4469
beta_slot_raw[117]  -0.2100   0.6497  -0.8664    0.8460    4.1713   11.5130  13.6475
beta_slot_raw[118]  -0.1733   0.4450  -0.7118    0.5090    4.1701   11.1123  13.4430
beta_slot_raw[119]   0.1312   0.3775  -0.2877    0.6086    4.0495    4.0323  16.1385
beta_slot_raw[120]  -0.3434   0.4217  -0.9985    0.0842    4.3163   25.6917   4.0184
beta_slot_raw[121]   0.0010   0.5104  -0.8725    0.4162    4.0822    4.0323  10.0091
beta_slot_raw[122]  -0.3719   0.2752  -0.7918   -0.0390    4.2391    4.0323  12.1624
beta_slot_raw[123]   0.2812   0.4409  -0.3223    0.9216    4.2427   15.2443  11.3537
beta_slot_raw[124]   0.0434   0.6724  -0.9745    0.8220    4.1848   12.8265   5.5480
beta_slot_raw[125]   0.1560   0.5215  -0.5780    0.8708    4.0547    4.0323  13.7247
beta_slot_raw[126]   0.4463   0.4471  -0.0524    0.9152    4.0754    4.0323   9.9403
