NCP Model -- Fold 4
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 31633592.8714  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail         r_hat
alpha              -33.9274   0.5788 -34.4129  -32.9415    4.0323     4.0323  3.163359e+07
beta_slot_raw[93]    0.1225   0.5334  -0.5326    0.8662    4.0323     4.0323  3.163359e+07
beta_slot_raw[94]    0.1196   0.4734  -0.2552    0.9236    4.0323     4.0323  3.163359e+07
beta_slot_raw[95]    0.3576   0.5877  -0.6503    0.7611    4.0323     4.0323  3.163359e+07
beta_slot_raw[96]    0.2201   0.6368  -0.7523    0.8851    4.0323     4.0323  3.163359e+07
beta_slot_raw[97]   -0.6973   0.2867  -0.9611   -0.2178    4.0323     4.0323  3.163359e+07
beta_slot_raw[98]   -0.5379   0.3822  -0.9797    0.0596    4.0323     4.0323  3.163359e+07
beta_slot_raw[99]   -0.1664   0.6560  -0.7604    0.9440    4.0323     4.0323  3.163359e+07
beta_slot_raw[100]  -0.4276   0.6113  -0.9095    0.6210    4.0323     4.0323  3.163359e+07
beta_slot_raw[101]   0.1598   0.4040  -0.2883    0.5902    4.0323     4.0323  3.163359e+07
beta_slot_raw[102]   0.2843   0.7275  -0.8515    0.9740    4.0323     4.0323  3.163359e+07
beta_slot_raw[103]   0.0832   0.5175  -0.5930    0.7181    4.0323     4.0323  3.163359e+07
beta_slot_raw[104]  -0.2323   0.4118  -0.8712    0.2570    4.0323     4.0323  3.163359e+07
beta_slot_raw[105]  -0.0768   0.7006  -0.9054    0.6821    4.0323     4.0323  3.163359e+07
beta_slot_raw[106]  -0.3859   0.3764  -0.9824    0.0563    4.0323     4.0323  3.163359e+07
beta_slot_raw[107]  -0.4648   0.7586  -0.9664    0.8454    4.0323     4.0323  3.163359e+07
beta_slot_raw[108]  -0.2487   0.3733  -0.8848    0.0664    4.0323     4.0323  3.163359e+07
beta_slot_raw[109]  -0.0095   0.5660  -0.7532    0.7694    4.0323     4.0323  3.163359e+07
beta_slot_raw[110]  -0.4517   0.4100  -0.9080    0.1894    4.0323     4.0323  3.163359e+07
beta_slot_raw[111]   0.2472   0.5250  -0.5430    0.8563    4.0323     4.0323  3.163359e+07
beta_slot_raw[112]  -0.1400   0.6396  -0.9102    0.7693    4.0323     4.0323  3.163359e+07
beta_slot_raw[113]  -0.0026   0.4026  -0.3742    0.6755    4.0323     4.0323  3.163359e+07
beta_slot_raw[114]   0.3421   0.2445   0.0654    0.7194    4.0323     4.0323  3.163359e+07
beta_slot_raw[115]   0.3276   0.3266  -0.2279    0.6068    4.0323     4.0323  3.163359e+07
beta_slot_raw[116]  -0.2405   0.6516  -0.7841    0.8696    4.0323     4.0323  3.163359e+07
beta_slot_raw[117]  -0.4223   0.6046  -0.9737    0.5921    4.0323     4.0323  3.163359e+07
beta_slot_raw[118]  -0.3480   0.4893  -0.9038    0.3778    4.0323     4.0323  3.163359e+07
beta_slot_raw[119]   0.6375   0.2729   0.1967    0.9283    4.0323     4.0323  3.163359e+07
beta_slot_raw[120]  -0.0569   0.5607  -0.7489    0.5166    4.0323     4.0323  3.163359e+07
beta_slot_raw[121]   0.1499   0.5699  -0.6947    0.8188    4.0323     4.0323  3.163359e+07
beta_slot_raw[122]  -0.0873   0.5945  -0.8664    0.7716    4.0323     4.0323  3.163359e+07
beta_slot_raw[123]   0.0135   0.6122  -0.8754    0.6154    4.0323     4.0323  3.163359e+07
beta_slot_raw[124]   0.2550   0.3176  -0.2758    0.5645    4.0323     4.0323  3.163359e+07
beta_slot_raw[125]   0.2628   0.2853  -0.1201    0.6837    4.0323     4.0323  3.163359e+07
beta_slot_raw[126]   0.7461   0.2150   0.3806    0.9334    4.0323     4.0323  3.163359e+07
beta_slot_raw[127]   0.1651   0.4137  -0.5048    0.5089    4.0323     4.0323  3.163359e+07
beta_slot_raw[128]  -0.1627   0.4331  -0.7971    0.3239    4.0323     4.0323  3.163359e+07
beta_slot_raw[129]   0.2870   0.5098  -0.5433    0.8113    4.0323     4.0323  3.163359e+07
beta_slot_raw[130]   0.2244   0.7439  -0.8096    0.9789    4.0323     4.0323  3.163359e+07
beta_slot_raw[131]  -0.0612   0.4535  -0.7455    0.3892    4.0323  4000.0000  3.163359e+07
beta_slot_raw[132]   0.0363   0.6745  -0.8109    0.7559    4.0323  4000.0000  3.163359e+07
beta_slot_raw[133]  -0.1879   0.5120  -0.9241    0.4734    4.0323     4.0323  3.163359e+07
beta_slot_raw[134]   0.1237   0.6721  -0.7958    0.7893    4.0323     4.0323  3.163359e+07
beta_slot_raw[135]  -0.2123   0.6688  -0.9522    0.8615    4.0323     4.0323  3.163359e+07
beta_slot_raw[136]   0.6772   0.2444   0.3951    0.9770    4.0323     4.0323  3.163359e+07
beta_slot_raw[137]  -0.0620   0.7109  -0.9042    0.8420    4.0323     4.0323  3.163359e+07
beta_slot_raw[138]  -0.4124   0.5435  -0.9812    0.1387    4.0323     4.0323  3.163359e+07
beta_slot_raw[139]   0.1015   0.4917  -0.6442    0.7297    4.0323     4.0323  3.163359e+07
beta_slot_raw[140]   0.0836   0.1768  -0.1845    0.3103    4.0323     4.0323  3.163359e+07
beta_slot_raw[141]  -0.3923   0.3053  -0.7789   -0.0683    4.0323     4.0323  3.163359e+07
beta_slot_raw[142]  -0.1087   0.2880  -0.4636    0.2963    4.0323     4.0323  3.163359e+07
beta_slot_raw[143]   0.1966   0.6528  -0.8798    0.8793    4.0323     4.0323  3.163359e+07
beta_slot_raw[144]   0.4963   0.1288   0.2838    0.5993    4.0323     4.0323  3.163359e+07
beta_slot_raw[145]  -0.1219   0.5577  -0.9791    0.5000    4.0323     4.0323  3.163359e+07
beta_slot_raw[146]   0.5320   0.1876   0.2722    0.7776    4.0323     4.0323  3.163359e+07
beta_slot_raw[147]  -0.1257   0.7036  -0.9159    0.9489    4.0323     4.0323  3.163359e+07
beta_slot_raw[148]   0.1398   0.3138  -0.1429    0.6706    4.0323     4.0323  3.163359e+07
beta_slot_raw[149]   0.0565   0.6460  -0.8413    0.9717    4.0323     4.0323  3.163359e+07
beta_slot_raw[150]   0.6353   0.2208   0.2825    0.8914    4.0323     4.0323  3.163359e+07
beta_slot_raw[151]   0.3472   0.3815  -0.2384    0.8303    4.0323     4.0323  3.163359e+07
beta_slot_raw[152]   0.0027   0.2505  -0.4121    0.2604    4.0323     4.0323  3.163359e+07
beta_slot_raw[153]  -0.0587   0.6270  -0.8803    0.8819    4.0323     4.0323  3.163359e+07
beta_slot_raw[154]  -0.0492   0.5103  -0.8014    0.6072    4.0323     4.0323  3.163359e+07
beta_slot_raw[155]  -0.3408   0.6556  -0.9705    0.7526    4.0323     4.0323  3.163359e+07
beta_slot_raw[156]  -0.1620   0.3983  -0.7661    0.2984    4.0323  4000.0000  3.163359e+07
beta_slot_raw[157]  -0.1328   0.3701  -0.6376    0.4032    4.0323     4.0323  3.163359e+07
beta_slot_raw[158]  -0.0993   0.6995  -0.8890    0.9046    4.0323     4.0323  3.163359e+07
beta_slot_raw[159]   0.0404   0.4578  -0.6276    0.5587    4.0323     4.0323  3.163359e+07
beta_slot_raw[160]   0.3753   0.4346  -0.1501    0.8903    4.0323     4.0323  3.163359e+07
beta_slot_raw[161]  -0.3824   0.3489  -0.6712    0.1959    4.0323     4.0323  3.163359e+07
beta_slot_raw[162]  -0.1947   0.4209  -0.7984    0.2551    4.0323     4.0323  3.163359e+07
beta_slot_raw[163]  -0.1020   0.4035  -0.5418    0.4273    4.0323     4.0323  3.163359e+07
beta_slot_raw[164]  -0.1617   0.4498  -0.5169    0.6058    4.0323     4.0323  3.163359e+07
beta_slot_raw[165]   0.1751   0.5497  -0.7620    0.6038    4.0323     4.0323  3.163359e+07
beta_slot_raw[166]  -0.2926   0.6477  -0.9712    0.7354    4.0323     4.0323  3.163359e+07
beta_slot_raw[167]  -0.2416   0.2741  -0.4724    0.2080    4.0323     4.0323  3.163359e+07
beta_slot_raw[168]   0.5276   0.3481   0.1340    0.8858    4.0323     4.0323  3.163359e+07
beta_slot_raw[169]   0.1299   0.5293  -0.5948    0.7525    4.0323     4.0323  3.163359e+07
beta_slot_raw[170]  -0.1890   0.6859  -0.8635    0.9169    4.0323  4000.0000  3.163359e+07
beta_slot_raw[171]   0.3968   0.6370  -0.6952    0.8961    4.0323     4.0323  3.163359e+07
beta_slot_raw[172]   0.0534   0.4067  -0.5281    0.5463    4.0323     4.0323  3.163359e+07
beta_slot_raw[173]   0.0773   0.7003  -0.8563    0.9910    4.0323     4.0323  3.163359e+07
beta_slot_raw[174]  -0.1034   0.4338  -0.7191    0.3617    4.0323     4.0323  3.163359e+07
beta_slot_raw[175]  -0.1229   0.3421  -0.5205    0.3028    4.0323     4.0323  3.163359e+07
beta_slot_raw[176]  -0.2853   0.5573  -0.8553    0.5243    4.0323     4.0323  3.163359e+07
beta_slot_raw[177]  -0.0253   0.6485  -0.8668    0.7283    4.0323     4.0323  3.163359e+07
beta_slot_raw[178]   0.1902   0.5416  -0.6866    0.7662    4.0323     4.0323  3.163359e+07
beta_slot_raw[179]  -0.2005   0.5190  -0.7423    0.3872    4.0323     4.0323  3.163359e+07
beta_slot_raw[180]  -0.1245   0.8024  -0.9540    0.7105    4.0323     4.0323  3.163359e+07
beta_slot_raw[181]  -0.0955   0.6290  -0.7342    0.8800    4.0323     4.0323  3.163359e+07
beta_slot_raw[182]  -0.4495   0.4264  -0.9122    0.1268    4.0323     4.0323  3.163359e+07
beta_slot_raw[183]   0.2020   0.5592  -0.6330    0.7215    4.0323     4.0323  3.163359e+07
beta_slot_raw[184]  -0.4516   0.3061  -0.9460   -0.1505    4.0323     4.0323  3.163359e+07
beta_slot_raw[185]   0.0405   0.5081  -0.7606    0.6508    4.0323     4.0323  3.163359e+07
