ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2026-04-06  18:11:08.336692	2026-04-06  18:11:08.336687	42783746	Trailing Stop	1	Open	TM_6	Sell	24293.0000000				IPS(all)+TM(all+last50)	1	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:08.961012	2026-04-06  18:11:08.961003	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24293.0000000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24306.50. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24293.50. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:09.194549	2026-04-06  18:11:09.194538	42783746	Trailing Stop	1	Open	TM_6	Sell	24293.5000000				IPS(all)+TM(all+last50)	1	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:09.220874	2026-04-06  18:11:09.220870	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24293.5000000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24309.75. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24296.75. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:09.686809	2026-04-06  18:11:09.686804	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:09.807942	2026-04-06  18:11:09.807919	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24312.00. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24299.00. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:10.280653	2026-04-06  18:11:10.280646	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:10.473028	2026-04-06  18:11:10.473020	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24311.75. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24298.75. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:10.943477	2026-04-06  18:11:10.943463	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:10.993681	2026-04-06  18:11:10.993668	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24313.00. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24300.00. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:11.600619	2026-04-06  18:11:11.600595	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:11.632473	2026-04-06  18:11:11.632463	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24320.00. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24307.00. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:12.088991	2026-04-06  18:11:12.088988	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:12.125539	2026-04-06  18:11:12.125522	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24319.50. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24306.50. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:12.562427	2026-04-06  18:11:12.562422	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:12.795364	2026-04-06  18:11:12.795359	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24325.50. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24312.50. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
